selling_type,address,city,region,postal_code,price
['Pre-foreclosure'],['Wall St'],['New York'],['NY'],['10005'],"['$1,454,000']"
['Pre-foreclosure'],['W 123rd St'],['New York'],['NY'],['10027'],"['$1,742,000']"
['Pre-foreclosure'],['5th Ave Apt 50C'],['New York'],['NY'],['10022'],"['$1,656,000']"
['Pre-foreclosure'],['Leonard St Apt 4A'],['New York'],['NY'],['10013'],"['$997,500']"
['Pre-foreclosure'],['Laguardia Pl Apt 6A'],['New York'],['NY'],['10012'],"['$2,366,000']"
['Pre-foreclosure'],['W 57th St'],['New York'],['NY'],['10019'],"['$1,712,000']"
['Pre-foreclosure'],['Central Park S'],['New York'],['NY'],['10019'],"['$1,939,000']"
['Pre-foreclosure'],['Henry St'],['New York'],['NY'],['10002'],"['$716,000']"
['Bank Owned'],['York Ave Apt 5K'],['New York'],['NY'],['10021'],"['$361,000']"
['Pre-foreclosure'],['Park Ave Apt 10G'],['New York'],['NY'],['10022'],"['$1,930,000']"
['Pre-foreclosure'],['Chambers St Apt 26C'],['New York'],['NY'],['10007'],"['$1,728,000']"
['Pre-foreclosure'],['E 90th St Apt 9E'],['New York'],['NY'],['10128'],"['$1,315,000']"
['Pre-foreclosure'],['Edgecombe Ave'],['New York'],['NY'],['10030'],"['$1,710,000']"
['Pre-foreclosure'],['W 55th St Apt 15G'],['New York'],['NY'],['10019'],"['$890,000']"
['Pre-foreclosure'],['W 56th St Apt 16N'],['New York'],['NY'],['10019'],"['$2,310,000']"
['Pre-foreclosure'],['Riverside Blvd Apt 5J'],['New York'],['NY'],['10069'],"['$937,000']"
['Pre-foreclosure'],['E 44th St Apt 8'],['New York'],['NY'],['10017'],"['$1,413,000']"
['Pre-foreclosure'],['Chambers St Apt 7K'],['New York'],['NY'],['10007'],"['$931,000']"
['Pre-foreclosure'],['W 43rd St Apt 21E'],['New York'],['NY'],['10036'],"['$819,000']"
['Pre-foreclosure'],['W 151st St Apt 5A'],['New York'],['NY'],['10031'],"['$347,000']"
['Pre-foreclosure'],['Mercer St Frnt 1B'],['New York'],['NY'],['10012'],"['$2,398,000']"
['Pre-foreclosure'],['Mercer St Frnt 1A'],['New York'],['NY'],['10012'],"['$37,000,000']"
['Bank Owned'],['E 57th St'],['New York'],['NY'],['10022'],"['$4,600,000']"
['Bank Owned'],['Riverside Blvd Apt 15C'],['New York'],['NY'],['10069'],"['$693,000']"
['Pre-foreclosure'],['8th Ave'],['New York'],['NY'],['10036'],"['$11,000,000']"
['Pre-foreclosure'],['Lexington Ave'],['New York'],['NY'],['10029'],"['$1,975,000']"
['Pre-foreclosure'],['W 57th St Apt 26J'],['New York'],['NY'],['10019'],"['$1,012,000']"
['Pre-foreclosure'],['W 42nd St Apt 45H'],['New York'],['NY'],['10036'],"['$1,183,000']"
['Pre-foreclosure'],['W 51st St'],['New York'],['NY'],['10019'],"['$343,000']"
['Pre-foreclosure'],['W 86th St Apt 5A'],['New York'],['NY'],['10024'],"['$1,885,000']"
['Pre-foreclosure'],['Pine St Apt 8N'],['New York'],['NY'],['10005'],"['$1,448,000']"
['Pre-foreclosure'],['W 64th St'],['New York'],['NY'],['10023'],"['$2,301,000']"
['Bank Owned'],['W 56th St Apt 4I'],['New York'],['NY'],['10019'],"['$1,015,297']"
['Bank Owned'],['Broadway PH 3B'],['New York'],['NY'],['10019'],"['$883,864']"
['Bank Owned'],['Spring St'],['New York'],['NY'],['10013'],"['$871,000']"
['Bank Owned'],['W 56th St Apt 4N'],['New York'],['NY'],['10019'],"['$1,000']"
['Pre-foreclosure'],['E 72nd St Apt 39D'],['New York'],['NY'],['10021'],"['$1,552,000']"
['Pre-foreclosure'],['W 175th St'],['New York'],['NY'],['10033'],"['$950,000']"
['Pre-foreclosure'],['West St Apt 22J'],['New York'],['NY'],['10004'],"['$2,219,000']"
['Pre-foreclosure'],['E Houston St Apt 5A'],['New York'],['NY'],['10002'],"['$1,500,000']"
['Pre-foreclosure'],['5th Ave Apt 55A'],['New York'],['NY'],['10016'],"['$1,434,000']"
['Pre-foreclosure'],['W 30th St Apt 16A'],['New York'],['NY'],['10001'],"['$2,588,000']"
['Pre-foreclosure'],['W 119th St'],['New York'],['NY'],['10026'],"['$1,987,000']"
['Pre-foreclosure'],['1st Ave Apt 28H'],['New York'],['NY'],['10016'],"['$1,145,000']"
['Pre-foreclosure'],['W 139th St'],['New York'],['NY'],['10030'],"['$1,992,000']"
['Pre-foreclosure'],['W 135th St Apt 2T'],['New York'],['NY'],['10030'],"['$749,000']"
['Bank Owned'],['Rector Pl Apt 5G'],['New York'],['NY'],['10280'],"['$570,000']"
['Bank Owned'],['W 80th St Apt 1A'],['New York'],['NY'],['10024'],"['$902,000']"
['Bank Owned'],['Central Park W Apt 12G'],['New York'],['NY'],['10025'],"['$1,000']"
['Pre-foreclosure'],['W 125th St'],['New York'],['NY'],['10027'],"['$2,045,000']"
['Pre-foreclosure'],['E 38th St Apt 23K'],['New York'],['NY'],['10016'],"['$1,170,000']"
['Pre-foreclosure'],['E 125th St'],['New York'],['NY'],['10035'],"['$1,000,000']"
['Pre-foreclosure'],['E 101st St'],['New York'],['NY'],['10029'],"['$1,520,000']"
['Pre-foreclosure'],['Park Ave Apt 906'],['New York'],['NY'],['10016'],"['$1,127,000']"
['Bank Owned'],['E 34th St'],['New York'],['NY'],['10016'],"['$1,600,000']"
['Bank Owned'],['E 79th St Apt 10F'],['New York'],['NY'],['10075'],"['$1,016,000']"
['Pre-foreclosure'],['Wall St Apt 700'],['New York'],['NY'],['10005'],"['$1,573,000']"
['Pre-foreclosure'],['E 18th St'],['New York'],['NY'],['10003'],"['$23,500,000']"
['Bank Owned'],['E 54th St Apt 12C'],['New York'],['NY'],['10022'],"['$1,045,000']"
['Bank Owned'],['W 15th St Apt 3G'],['New York'],['NY'],['10011'],"['$1,182,500']"
['Pre-foreclosure'],['E 66th St Apt 9A'],['New York'],['NY'],['10065'],"['$781,000']"
['Pre-foreclosure'],['W 50th St'],['New York'],['NY'],['10019'],"['$794,000']"
['Pre-foreclosure'],['W 121st St'],['New York'],['NY'],['10027'],"['$1,986,000']"
['Pre-foreclosure'],['E 36th St Apt 10G'],['New York'],['NY'],['10016'],"['$630,000']"
['Pre-foreclosure'],['E 40th St Apt 41H'],['New York'],['NY'],['10016'],"['$952,000']"
['Pre-foreclosure'],['E 28th St'],['New York'],['NY'],['10016'],"['$2,335,000']"
['Pre-foreclosure'],['E 23rd St Apt 15H'],['New York'],['NY'],['10010'],"['$982,000']"
['Pre-foreclosure'],['Broadway Apt 12E'],['New York'],['NY'],['10019'],"['$986,000']"
['Pre-foreclosure'],['W 42nd St Apt 6E'],['New York'],['NY'],['10036'],"['$918,000']"
['Pre-foreclosure'],['W 57th St Apt 42C'],['New York'],['NY'],['10019'],"['$1,500,000']"
['Pre-foreclosure'],['W End Ave'],['New York'],['NY'],['10025'],"['$1,834,000']"
['Bank Owned'],['Riverside Blvd'],['New York'],['NY'],['10069'],"['$1,055,000']"
['Bank Owned'],['Frederick Douglass Blvd'],['New York'],['NY'],['10039'],"['$7,800,000']"
['Bank Owned'],['Frederick Douglass Blvd'],['New York'],['NY'],['10039'],"['$7,800,000']"
